transcript_id	gene_name
ENST00000395814.5	PMEPA1
ENST00000395816.7	PMEPA1
ENST00000395819.3	PMEPA1
ENST00000395949.2	DNAJC24
ENST00000396095.6	NPSR1
ENST00000396588.6	MFF-DT
ENST00000396642.7	PDE7A
ENST00000397359.7	CDH24
ENST00000397664.8	METTL26
ENST00000397665.6	METTL26
ENST00000397666.6	METTL26
ENST00000398130.6	RELCH
ENST00000398250.6	PLPP4
ENST00000398253.6	ZFP90
ENST00000398402.1	CST1
ENST00000401827.8	PDE7A
ENST00000401850.5	A4GALT
ENST00000402673.7	SAR1B
ENST00000402883.5	FRMD5
ENST00000406875.8	HIPK2
ENST00000408900.7	RAP1GDS1
ENST00000408903.7	MCC
ENST00000408927.8	RAP1GDS1
ENST00000409343.5	ZNF385B
ENST00000409647.1	LONRF2
ENST00000409692.5	ZNF385B
ENST00000409839.7	REG3A
ENST00000409937.1	CNGA3
ENST00000410066.7	ZNF385B
ENST00000411650.5	UBP1
ENST00000411909.1	AZGP1P1
ENST00000412104.6	VRK2
ENST00000412270.1	ENSG00000284830
ENST00000412856.7	SEPTIN7-DT
ENST00000413077.4	ZNF232-AS1
ENST00000413183.3	PPP1R2
ENST00000413221.7	EPB41L4A-AS1
ENST00000413290.1	ENSG00000224099
ENST00000414037.5	PMEPA1
ENST00000415109.5	GDI1
ENST00000415374.5	PNPT1
ENST00000415489.1	PNPT1
ENST00000415537.1	HLA-C
ENST00000415893.1	CYP2W1
ENST00000417257.6	FRMD5
ENST00000417641.6	VRK2
ENST00000418176.1	KRBOX1
ENST00000418424.2	POLR2J4
ENST00000418900.6	HIGD1A
ENST00000418939.1	PPP1R2
ENST00000420220.1	ENSG00000254706
ENST00000420222.2	SH3PXD2A
ENST00000420375.5	TMEM212
ENST00000421019.1	PELATON
ENST00000421147.5	LINC02474
ENST00000421674.5	FRMD5
ENST00000422304.2	POLR2J4
ENST00000422393.5	PLP1
ENST00000422459.3	PELATON
ENST00000422761.1	ATP6V1B1-AS1
ENST00000423504.3	LINC02828
ENST00000423554.5	FAXDC2
ENST00000423893.7	GH2
ENST00000424194.1	SEPTIN7-DT
ENST00000424404.1	FEZF1-AS1
ENST00000425474.6	AZGP1P1
ENST00000425497.6	PELATON
ENST00000425524.1	POLR2J4
ENST00000425625.5	ZNF714
ENST00000425835.6	HDAC2
ENST00000426851.6	ZNF398
ENST00000427076.5	POLR2J4
ENST00000427306.4	EPB41L4A-AS1
ENST00000427726.5	ING3
ENST00000428021.1	VRK2
ENST00000428177.2	FOXJ2
ENST00000428449.5	FEZF1-AS1
ENST00000428878.6	HIPK2
ENST00000429805.1	PNPT1
ENST00000429967.3	APLN
ENST00000430190.5	HIGD1A
ENST00000430325.7	CCNP
ENST00000430494.2	MYOSLID
ENST00000431229.1	SIM2
ENST00000431467.1	ING3
ENST00000431696.1	ENSG00000254706
ENST00000432057.2	VRK2
ENST00000433324.2	MFF-DT
ENST00000433491.5	PLP1
ENST00000434049.1	GDI1
ENST00000434163.5	KCNIP2
ENST00000434483.5	PLP1
ENST00000435505.6	VRK2
ENST00000435643.1	MYOSLID
ENST00000436404.6	CNGA3
ENST00000436714.1	ENSG00000230941
ENST00000437235.8	SEPTIN7-DT
ENST00000437317.2	FEZF1-AS1
ENST00000437673.6	MFF-DT
ENST00000438382.2	NCF1C
ENST00000438650.5	GSKIP
ENST00000438848.5	PPP1R2
ENST00000438871.2	ZNF385B
ENST00000438932.2	PNMA8A
ENST00000439340.1	ZNF385B
ENST00000439578.5	SAR1B
ENST00000439598.6	MFF-DT
ENST00000439795.1	LINC02794
ENST00000439904.3	SLC25A16
ENST00000439969.3	LINC03040
ENST00000439986.9	CCBE1
ENST00000440326.4	MYOSLID
ENST00000440705.6	VRK2
ENST00000441160.1	LINC02474
ENST00000442027.6	NFIA-AS1
ENST00000442114.6	LINC03040
ENST00000442265.3	IRF3
ENST00000442823.4	EPB41L4A-AS1
ENST00000442853.5	HORMAD1
ENST00000443055.1	PHACTR3-AS1
ENST00000443502.5	PLP1
ENST00000444436.1	ENSG00000229976
ENST00000444983.6	CCNE1
ENST00000445003.5	PELATON
ENST00000445564.5	GDI1
ENST00000445699.5	ING3
ENST00000445883.1	ENSG00000233068
ENST00000446515.1	KPNA6
ENST00000446874.5	POLR2J4
ENST00000447368.6	UBP1
ENST00000447639.1	ATP6V1B1-AS1
ENST00000447643.1	POLR2J4
ENST00000447750.7	GDI1
ENST00000447944.7	PNPT1
ENST00000448947.2	LINC03040
ENST00000448973.6	METTL26
ENST00000448981.6	FBXO3
ENST00000449175.1	MIR600HG
ENST00000449277.6	MEF2A
ENST00000449787.6	GH2
ENST00000449926.5	FRMD5
ENST00000450233.1	UGT1A4
ENST00000450255.2	ENSG00000233068
ENST00000450693.1	TMEM212
ENST00000450860.1	ENSG00000228427
ENST00000451277.5	FRMD5
ENST00000451510.1	PHACTR3-AS1
ENST00000451732.6	ZNF385B
ENST00000452611.6	PRMT8
ENST00000452906.3	HIGD1A
ENST00000453179.1	LINC02828
ENST00000453712.6	RAP1GDS1
ENST00000454188.5	REG1B
ENST00000454396.2	ENSG00000233068
ENST00000454444.1	MYOSLID
ENST00000454572.1	POLR2J4
ENST00000455268.5	PLP1
ENST00000456047.2	DCD
ENST00000456283.7	ZNF714
ENST00000456378.1	UBP1
ENST00000456420.6	METTL26
ENST00000456522.1	PTCHD1
ENST00000456543.6	GH2
ENST00000456803.5	LINC02794
ENST00000457304.5	ZNF385B
ENST00000458630.5	FRMD5
ENST00000459922.1	IGSF5
ENST00000460337.5	ANGEL2
ENST00000460388.5	KCNIP2
ENST00000460437.1	PPP1R2
ENST00000460508.3	LBX2
ENST00000460783.1	SIM2
ENST00000460832.1	SPICE1
ENST00000460984.1	GDI1
ENST00000461105.5	KCNIP2
ENST00000461231.5	PLP1
ENST00000461579.1	REG1A
ENST00000462195.6	ASMTL
ENST00000462453.1	CYP2W1
ENST00000462906.1	PPP1R2
ENST00000463015.1	TMEM183A
ENST00000463222.1	VRK2
ENST00000463763.6	ASMTL
ENST00000463888.1	KRBOX1
ENST00000463918.1	ZNF385B
ENST00000464675.2	EMX1
ENST00000464746.1	REG3A
ENST00000464776.5	PLP1
ENST00000464787.1	UBP1
ENST00000464933.5	SLC9A7
ENST00000465305.5	NPSR1
ENST00000465505.2	SNX4
ENST00000465640.1	GDI1
ENST00000465765.2	A4GALT
ENST00000465946.1	ENSG00000242775
ENST00000465975.1	PLP1
ENST00000465995.6	DNAJC24
ENST00000466398.5	ZNF385B
ENST00000466441.5	UBP1
ENST00000466486.1	PLP1
ENST00000466773.5	SLAMF9
ENST00000466892.5	HLA-C
ENST00000467297.1	TLN2
ENST00000467381.1	ENSG00000290455
ENST00000467613.5	UBP1
ENST00000467618.1	SPICE1
ENST00000468261.1	ITGA10
ENST00000468449.5	TMEM183A
ENST00000468456.1	CYP2W1
ENST00000468483.5	GDI1
ENST00000469052.1	REG1B
ENST00000469551.5	ZNF385B
ENST00000469790.1	KPNA6
ENST00000469981.1	TMEM212
ENST00000470363.5	HLA-C
ENST00000470397.5	HORMAD1
ENST00000470543.1	HIGD1A
ENST00000471599.5	KPNA6
ENST00000471751.5	SNX4
ENST00000471915.5	PNRC2
ENST00000471972.1	GDI1
ENST00000472053.3	ENSG00000273132
ENST00000472570.2	CENPV
ENST00000472764.5	KCNIP2
ENST00000472841.1	PMEPA1
ENST00000472902.1	TLN2
ENST00000473303.1	ANGEL2
ENST00000473417.5	SNX4
ENST00000473732.1	EMX1
ENST00000473965.1	FRMD5
ENST00000474456.1	RRAGC
ENST00000474847.2	TLN2
ENST00000474865.6	ASMTL
ENST00000474927.1	SLC25A16
ENST00000475153.6	ZNF398
ENST00000475539.5	ZNF385B
ENST00000475645.1	ATG5
ENST00000475976.5	GDI1
ENST00000476160.1	PLP1
ENST00000476243.5	CENPV
ENST00000476518.1	ATG5
ENST00000476530.1	HORMAD1
ENST00000476540.1	GDI1
ENST00000476554.1	REG1B
ENST00000476904.5	ANGEL2
ENST00000476934.1	ANGPTL7
ENST00000477226.6	DES
ENST00000477304.1	CYS1
ENST00000477603.5	PRIMA1
ENST00000478642.5	PLP1
ENST00000478678.5	PBX2
ENST00000478687.5	VRK2
ENST00000478808.5	USP30-AS1
ENST00000479098.1	LBX2
ENST00000479258.5	REG1B
ENST00000479319.1	FRMD5
ENST00000479378.1	IGSF5
ENST00000479451.5	BCHE
ENST00000479569.5	PLP1
ENST00000480254.1	PBX2
ENST00000480325.1	PLP1
ENST00000480527.1	SPICE1
ENST00000481066.1	PNPT1
ENST00000481185.1	SIM2
ENST00000481236.1	ITGA10
ENST00000481304.5	GDI1
ENST00000481761.1	UBP1
ENST00000481918.1	ANGEL2
ENST00000482958.1	BCHE
ENST00000482965.1	SNX4
ENST00000482983.1	CENPV
ENST00000483026.2	A4GALT
ENST00000483178.2	SIM2
ENST00000483385.1	KCNIP2
ENST00000483395.1	DES
ENST00000483892.5	ZNF398
ENST00000484378.1	HLA-C
ENST00000484674.5	FRMD5
ENST00000484682.2	YWHAH-AS1
ENST00000485111.5	ZNF398
ENST00000485143.5	GDI1
ENST00000485184.1	REG1A
ENST00000485688.5	PLP1
ENST00000485922.2	CDH24
ENST00000485931.5	PLP1
ENST00000486388.5	UBP1
ENST00000486497.1	HORMAD1
ENST00000486651.1	YWHAH-AS1
ENST00000487137.7	CDH24
ENST00000487245.5	HLA-C
ENST00000488097.2	TMEM183A
ENST00000488524.1	REG1A
ENST00000488591.1	CXCL12
ENST00000488931.2	CASQ2
ENST00000488954.1	BCHE
ENST00000489098.1	SLAMF9
ENST00000489129.5	TLN2
ENST00000489574.2	SLC9A7
ENST00000489589.1	GDI1
ENST00000489723.5	ENSG00000290455
ENST00000490112.1	UBP1
ENST00000490901.2	REG3A
ENST00000491023.3	EMX1
ENST00000491102.2	SLC25A16
ENST00000491154.1	GDI1
ENST00000491174.1	ZNF398
ENST00000491894.4	SLC9A7
ENST00000491993.2	DUOXA2
ENST00000492136.1	UBP1
ENST00000492288.1	CYBB
ENST00000492726.1	DES
ENST00000493015.1	RRAGC
ENST00000493963.5	SLC25A16
ENST00000494119.1	PLP1
ENST00000494475.5	PLP1
ENST00000494733.5	TLN2
ENST00000495289.1	ZNF385B
ENST00000495300.1	PBX2
ENST00000495678.5	PLP1
ENST00000495812.5	SPICE1
ENST00000495835.1	HLA-C
ENST00000496020.1	PCYT1B
ENST00000496105.1	SPICE1
ENST00000496171.1	PBX2
ENST00000496310.1	UBP1
ENST00000496375.1	CXCL12
ENST00000496437.1	PLPP4
ENST00000496778.1	RRAGC
ENST00000496836.1	PLP1
ENST00000496859.1	SPICE1
ENST00000497011.5	BCHE
ENST00000497502.1	ING3
ENST00000498187.6	NKX2-1
ENST00000498650.1	ANGEL2
ENST00000498687.1	ENSG00000290455
ENST00000499536.2	PRR19
ENST00000500324.2	ENSG00000251567
ENST00000500370.2	SNHG10
ENST00000501718.2	ENSG00000247011
ENST00000502160.6	LINC01498
ENST00000502286.1	SAR1B
ENST00000502539.5	SAR1B
ENST00000502648.5	MCC
ENST00000502801.1	CCDC149
ENST00000503318.5	SAR1B
ENST00000503364.5	GC
ENST00000503371.5	POLN
ENST00000503472.5	GC
ENST00000503601.1	POLN
ENST00000503647.1	FTLP10
ENST00000503650.1	ENSG00000251574
ENST00000503667.5	RAP1GDS1
ENST00000503745.1	RAP1GDS1
ENST00000504199.5	GC
ENST00000504242.1	SAR1B
ENST00000504321.1	EXOC1
ENST00000504391.5	NPY1R
ENST00000504487.5	CCDC149
ENST00000504757.2	SRP72
ENST00000504790.1	NPY1R
ENST00000505089.6	LINC00504
ENST00000505234.1	GC
ENST00000505314.2	SRP72
ENST00000505378.5	RAP1GDS1
ENST00000505501.1	EXOC1
ENST00000505604.1	MCC
ENST00000505758.5	SAR1B
ENST00000505798.2	FTLP10
ENST00000505824.6	ENSG00000251574
ENST00000505903.1	ENSG00000250838
ENST00000506245.1	GC
ENST00000506250.1	TNPO1-DT
ENST00000506292.2	LINC00504
ENST00000506293.2	TNPO1-DT
ENST00000506518.1	POLN
ENST00000506605.6	MCC
ENST00000506936.1	EXOC1
ENST00000506976.6	ENSG00000251574
ENST00000506984.1	ENSG00000249945
ENST00000507096.1	CCDC149
ENST00000507126.3	SRP72
ENST00000507303.5	RAP1GDS1
ENST00000507419.5	SAR1B
ENST00000507929.4	ENSG00000254339
ENST00000507957.2	TNPO1-DT
ENST00000508213.5	RAP1GDS1
ENST00000508217.3	TNPO1-DT
ENST00000508236.1	CCDC149
ENST00000508363.5	SAR1B
ENST00000508490.5	RAP1GDS1
ENST00000508568.1	POLN
ENST00000508590.3	EPB41L4A-AS1
ENST00000508825.1	ENSG00000250775
ENST00000509011.5	RAP1GDS1
ENST00000509185.2	LMNB1-DT
ENST00000509302.5	EXOC1
ENST00000509501.5	RAP1GDS1
ENST00000509543.1	PTGER4
ENST00000509586.5	NPY1R
ENST00000509623.1	POLN
ENST00000509654.5	LINC00504
ENST00000509705.3	NFKBIB
ENST00000509730.5	SAR1B
ENST00000509740.5	GC
ENST00000509937.5	SAR1B
ENST00000510344.1	POLN
ENST00000510377.5	USP38
ENST00000510663.6	SRP72
ENST00000510870.5	RAP1GDS1
ENST00000511098.1	POLN
ENST00000511212.5	RAP1GDS1
ENST00000511242.1	MCC
ENST00000511379.5	RAP1GDS1
ENST00000511739.1	USP38
ENST00000511777.1	POLN
ENST00000511847.2	MCC
ENST00000511885.6	POLN
ENST00000511901.1	NPY1R
ENST00000511971.5	EXOC1
ENST00000512432.1	CCDC149
ENST00000512482.1	COL6A5
ENST00000512573.6	TNPO1-DT
ENST00000512578.1	PTGER4
ENST00000512819.1	NPY1R
ENST00000512836.6	COL6A5
ENST00000512857.5	RAP1GDS1
ENST00000513332.5	ENSG00000251567
ENST00000513356.1	NSA2
ENST00000513476.5	GC
ENST00000513635.1	PTGER4
ENST00000513767.3	TNPO1-DT
ENST00000513948.1	CCNP
ENST00000514122.5	RAP1GDS1
ENST00000514139.2	RAP1GDS1
ENST00000514343.1	PTGER4
ENST00000514521.5	POLN
ENST00000514701.5	MCC
ENST00000514858.5	POLN
ENST00000514918.5	NSA2
ENST00000515031.5	LINC00504
ENST00000515085.1	ENSG00000250385
ENST00000515187.5	RAP1GDS1
ENST00000515357.5	POLN
ENST00000515367.6	MCC
ENST00000515524.1	NSA2
ENST00000515701.1	NPY1R
ENST00000517448.5	FAXDC2
ENST00000517605.1	FAM114A2
ENST00000517758.1	ENSG00000251574
ENST00000517803.5	FAM114A2
ENST00000517874.1	FAXDC2
ENST00000517938.5	FAXDC2
ENST00000518102.5	FAM114A2
ENST00000518113.2	GGH
ENST00000518149.5	NKX2-1
ENST00000518276.2	ENSG00000251574
ENST00000518466.6	GGH
ENST00000518651.5	FAXDC2
ENST00000518667.1	PDE7A
ENST00000518690.5	HDAC2
ENST00000518735.1	FAM114A2
ENST00000518756.1	HDAC2
ENST00000518900.1	FAM114A2
ENST00000518914.1	FAM114A2
ENST00000518941.3	ENSG00000253295
ENST00000518946.1	FAM114A2
ENST00000518966.5	GGH
ENST00000519065.6	HDAC2
ENST00000519108.5	HDAC2
ENST00000519231.5	PDE7A
ENST00000519248.1	ENSG00000254339
ENST00000519258.1	FAXDC2
ENST00000519260.1	PMP2
ENST00000519501.5	FAXDC2
ENST00000519626.1	PDE7A
ENST00000519808.5	FAM114A2
ENST00000520170.1	HDAC2
ENST00000520313.5	FAM114A2
ENST00000520461.1	FAXDC2
ENST00000520543.2	ENSG00000254339
ENST00000520581.5	FAXDC2
ENST00000520609.5	GGH
ENST00000520667.5	FAM114A2
ENST00000520746.1	HDAC2
ENST00000520895.5	HDAC2
ENST00000520968.5	FAXDC2
ENST00000521031.1	FAM114A2
ENST00000521163.5	HDAC2
ENST00000521233.1	HDAC2
ENST00000521479.1	GSR
ENST00000521518.5	FAXDC2
ENST00000521523.6	ENSG00000254339
ENST00000521610.5	HDAC2
ENST00000522220.1	PDE7A
ENST00000522371.5	HDAC2
ENST00000522395.5	FAM114A2
ENST00000522464.1	ENSG00000251574
ENST00000522634.1	FAM114A2
ENST00000522719.4	NKX2-1
ENST00000522825.1	FAXDC2
ENST00000522838.1	ENSG00000251574
ENST00000522852.1	GGH
ENST00000522858.5	FAM114A2
ENST00000523240.5	HDAC2
ENST00000523253.1	PDE7A
ENST00000523295.5	GSR
ENST00000523334.1	HDAC2
ENST00000523434.6	ENSG00000251574
ENST00000523479.1	GGH
ENST00000523628.5	HDAC2
ENST00000523656.5	TDRP
ENST00000523682.2	ENSG00000254339
ENST00000523705.5	FAM114A2
ENST00000523788.2	GGH
ENST00000523997.5	FAXDC2
ENST00000524083.1	ENSG00000251574
ENST00000524159.1	ENSG00000251574
ENST00000524229.1	TDRP
ENST00000524246.1	FAM114A2
ENST00000524250.5	FAXDC2
ENST00000524334.1	HDAC2
ENST00000524336.5	ENSG00000251574
ENST00000524363.5	FAXDC2
ENST00000524391.6	KCNV1
ENST00000524659.1	THY1
ENST00000524690.5	TM7SF2
ENST00000524747.1	DNAJC24
ENST00000524970.5	THY1
ENST00000524986.5	TM7SF2
ENST00000525162.5	PICALM
ENST00000525385.5	TM7SF2
ENST00000525511.5	DNAJC24
ENST00000525836.1	DSCAML1
ENST00000526033.5	PICALM
ENST00000526042.5	DNAJC24
ENST00000526048.1	TM7SF2
ENST00000526085.5	TM7SF2
ENST00000526408.1	ENSG00000254409
ENST00000526529.3	DNAJC24
ENST00000526548.3	PICALM
ENST00000526615.6	MIR670HG
ENST00000526785.5	FBXO3
ENST00000526809.5	TM7SF2
ENST00000526907.1	PICALM
ENST00000526952.1	FBXO3
ENST00000526961.5	PICALM
ENST00000527590.5	THY1
ENST00000527601.5	DNAJC24
ENST00000527660.1	ENSG00000284830
ENST00000527706.5	DSCAML1
ENST00000527731.1	DNAJC24
ENST00000527772.1	FBXO3
ENST00000527817.1	SRPRA
ENST00000527851.5	TM7SF2
ENST00000527968.5	TM7SF2
ENST00000528026.5	TM7SF2
ENST00000528226.1	ENSG00000254409
ENST00000528256.1	PICALM
ENST00000528295.5	THY1
ENST00000528398.5	PICALM
ENST00000528411.1	PICALM
ENST00000528522.5	THY1
ENST00000528598.1	ZNHIT2
ENST00000528744.5	SRPRA
ENST00000528802.1	TM7SF2
ENST00000529016.5	PICALM
ENST00000529077.5	GLB1L2
ENST00000529086.5	DNAJC24
ENST00000529137.1	FBXO3
ENST00000529233.5	TM7SF2
ENST00000529292.5	TM7SF2
ENST00000529414.5	TM7SF2
ENST00000529601.5	TM7SF2
ENST00000529760.5	PICALM
ENST00000530013.5	FBXO3
ENST00000530125.1	DNAJC24
ENST00000530401.5	FBXO3
ENST00000530542.1	PICALM
ENST00000530650.5	TM7SF2
ENST00000530680.1	SRPRA
ENST00000530692.5	PICALM
ENST00000530750.5	TM7SF2
ENST00000530892.5	TM7SF2
ENST00000531029.5	TM7SF2
ENST00000531080.5	FBXO3
ENST00000531081.5	GLB1L2
ENST00000531104.1	SRPRA
ENST00000531252.5	NPSR1
ENST00000531321.5	TM7SF2
ENST00000531558.1	PICALM
ENST00000531771.5	PICALM
ENST00000531930.5	PICALM
ENST00000532041.5	PICALM
ENST00000532057.5	FBXO3
ENST00000532259.1	SRPRA
ENST00000532268.1	SRPRA
ENST00000532317.5	PICALM
ENST00000532328.5	TM7SF2
ENST00000532385.5	DNAJC24
ENST00000532603.5	PICALM
ENST00000532849.2	ENSG00000255516
ENST00000532927.5	FBXO3
ENST00000532974.1	THY1
ENST00000533103.5	FBXO3
ENST00000533324.2	GLB1L2
ENST00000533350.1	PICALM
ENST00000533358.2	MIR670HG
ENST00000533531.1	MIR670HG
ENST00000533646.1	TM7SF2
ENST00000533766.5	TM7SF2
ENST00000533840.1	THY1
ENST00000534136.5	FBXO3
ENST00000534371.5	TM7SF2
ENST00000534375.1	PICALM
ENST00000534412.5	PICALM
ENST00000534667.1	TM7SF2
ENST00000534940.6	ASMTL
ENST00000535388.2	ANGEL2
ENST00000535456.7	GLB1L2
ENST00000537535.5	GSR
ENST00000539192.1	FOXJ2
ENST00000539363.2	ITGA10
ENST00000539681.1	MMP10
ENST00000541648.5	GSR
ENST00000543701.5	PRMT8
ENST00000543891.5	TMEM183A
ENST00000544421.2	PRPF19-DT
ENST00000545631.2	MIR600HG
ENST00000546342.5	GSR
ENST00000546378.1	HOXC11
ENST00000546807.5	DCD
ENST00000549670.5	ADAMTS20
ENST00000550249.2	LBX2
ENST00000551889.1	LINC01498
ENST00000553158.5	ADAMTS20
ENST00000553559.2	SNHG10
ENST00000553699.5	GSKIP
ENST00000553788.6	ETFRF1
ENST00000554034.5	CDH24
ENST00000554169.4	SNHG10
ENST00000554182.5	GSKIP
ENST00000554266.6	ETFRF1
ENST00000554333.1	CRAT37
ENST00000554837.5	LINC00924
ENST00000555088.5	GSKIP
ENST00000555151.5	ETFRF1
ENST00000555181.6	GSKIP
ENST00000555711.6	ETFRF1
ENST00000555757.1	GSKIP
ENST00000555866.6	SNHG10
ENST00000555947.7	CRAT37
ENST00000556053.2	LINC00924
ENST00000556095.5	GSKIP
ENST00000556198.2	ETFRF1
ENST00000556351.6	ETFRF1
ENST00000556402.6	ETFRF1
ENST00000556927.6	ETFRF1
ENST00000557540.7	ETFRF1
ENST00000557785.5	MEF2A
ENST00000557942.6	MEF2A
ENST00000557994.1	ENSG00000259370
